"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0557.978.345","REGO",,,"1630","Linkebeek","Linkebeek","Esselaar","Esselaar","52","","",
"0640.833.567","REGO",,,"5300","Andenne","Andenne","Les Ruelles","Les Ruelles","22","","",
"0695.388.347","REGO",,,"3800","Sint-Truiden","Sint-Truiden","Bedrijvenstraat","Bedrijvenstraat","5765","4","",
"0742.510.056","REGO",,,"2050","Antwerpen","Antwerpen","Amand De Lattinlaan","Amand De Lattinlaan","10","502","",
"0777.424.316","REGO",,,"6000","Charleroi","Charleroi","Boulevard Pierre Mayence","Boulevard Pierre Mayence","41","","",
"1040.644.506","REGO",,,"5000","Namur","Namur","Place Marché aux Légumes","Place Marché aux Légumes","15","","",
"1040.644.902","REGO",,,"7141","Morlanwelz","Morlanwelz","Rue Saint-Eloi(CAR)","Rue Saint-Eloi(CAR)","169","3","",
"1040.645.001","REGO",,,"9990","Maldegem","Maldegem","Aalterbaan","Aalterbaan","230","G","",
"1040.645.197","REGO",,,"7090","Braine-le-Comte","Braine-le-Comte","Rue des Aulnois","Rue des Aulnois","84","","",
"1040.645.296","REGO",,,"8904","Ieper","Ieper","Kleine Poezelstraat","Kleine Poezelstraat","8","","",
"1040.645.494","REGO",,,"3940","Hechtel-Eksel","Hechtel-Eksel","Hasseltsebaan","Hasseltsebaan","128","","",
"1040.645.791","REGO",,,"7012","Mons","Mons","Rue Clémenceau","Rue Clémenceau","25","","",
"1040.646.484","REGO",,,"1040","Etterbeek","Etterbeek","Leopoldstadplein","Square de Léopoldville","10","21","",
"2.039.433.116","BAET",,,"8620","Nieuwpoort","Nieuwpoort","Zeedijk","Zeedijk","ZN","","ter hoogte van Hendrikaplein",
"2.044.850.367","BAET",,,"2290","Vorselaar","Vorselaar","Vossenkuil","Vossenkuil","5","","",
"2.064.552.156","BAET",,,"1050","Elsene","Ixelles","Kasteleinsplein","Place du Châtelain","35","","",
"2.126.449.242","BAET",,,"3803","Sint-Truiden","Sint-Truiden","Planterijstraat","Planterijstraat","6","","",
"2.179.884.166","BAET",,,"4690","Bassenge","Bassenge","Rue du Moulin","Rue du Moulin","10","A","",
"2.188.936.840","BAET",,,"9830","Sint-Martens-Latem","Sint-Martens-Latem","Vlieguit","Vlieguit","12","","",
"2.214.630.952","BAET",,,"8800","Roeselare","Roeselare","Hinkelstraat","Hinkelstraat","8","","",
"2.285.964.653","BAET",,,"4880","Aubel","Aubel","Rue du Vieux Tilleul","Rue du Vieux Tilleul","54","","",
"2.300.981.441","BAET",,,"1030","Schaarbeek","Schaerbeek","Lambermontlaan","Boulevard Lambermont","388","","",
"2.310.259.886","BAET",,,"3500","Hasselt","Hasselt","Koning Boudewijnlaan","Koning Boudewijnlaan","20","a","",
"2.323.348.849","BAET",,,"5140","Sombreffe","Sombreffe","Rue de Wavre","Rue de Wavre","101","","",
"2.327.009.709","BAET",,,"1070","Anderlecht","Anderlecht","Adolphe Willemynsstraat","Rue Adolphe Willemyns","160/15","","",
"2.328.128.870","BAET",,,"9950","Lievegem","Lievegem","Guldensporenwijk","Guldensporenwijk","23","","",
"2.333.750.417","BAET",,,"1741","Ternat","Ternat","Egaartbaan","Egaartbaan","29","","",
"2.370.444.230","BAET",,,"3600","Genk","Genk","Liersstraat","Liersstraat","1","11","",
"2.371.530.828","BAET",,,"8700","Tielt","Tielt","Hondstraat","Hondstraat","31","","",
"2.371.577.150","BAET",,,"8880","Ledegem","Ledegem","Knokstraat","Knokstraat","6","","Kenny Buyse",
"2.377.243.831","BAET",,,"8670","Koksijde","Koksijde","Duinparklaan(Odk)","Duinparklaan(Odk)","2B","103","",
"2.380.155.316","BAET",,,"1880","Kapelle-op-den-Bos","Kapelle-op-den-Bos","Molenstraat","Molenstraat","75","","Simon Pardon",
"2.384.338.291","BAET",,,"3530","Houthalen-Helchteren","Houthalen-Helchteren","Grote Baan","Grote Baan","143","2","",
"2.391.279.236","BAET",,,"2800","Mechelen","Mechelen","Grote Nieuwedijkstraat","Grote Nieuwedijkstraat","417","","",
"2.391.285.174","BAET",,,"8460","Oudenburg","Oudenburg","Oudekerkstraat","Oudekerkstraat","2","","",
"2.391.426.716","BAET",,,"9031","Gent","Gent","Petrus Christusdreef","Petrus Christusdreef","9","","",
"2.391.493.725","BAET",,,"1476","Genappe","Genappe","Rue de Nivelles","Rue de Nivelles","11","","",
"2.391.583.302","BAET",,,"1830","Machelen (Brab.)","Machelen (Brab.)","Frans Van Fraechemstraat","Frans Van Fraechemstraat","18","","",
"2.391.709.204","BAET",,,"5575","Gedinne","Gedinne","Rue Grande, Venc.","Rue Grande, Venc.","44","","",
"2.391.715.637","BAET",,,"4550","Nandrin","Nandrin","Rue de la Tourette","Rue de la Tourette","12","","",
"2.391.715.736","BAET",,,"9150","Beveren-Kruibeke-Zwijndrecht","Beveren-Kruibeke-Zwijndrecht","Patrijzenweg","Patrijzenweg","1","","",
"2.391.715.835","BAET",,,"4460","Grâce-Hollogne","Grâce-Hollogne","Rue Paul Janson","Rue Paul Janson","206","B","",
