"EstablishmentNumber","StartDate","EnterpriseNumber"
"2.240.812.638",15-04-2015,"0628.448.350"
"2.381.514.801",06-01-2026,"0607.823.675"
"2.389.483.053",27-07-2026,"0891.744.061"
"2.390.602.018",27-07-2026,"1039.587.404"
"2.390.901.530",27-07-2026,"1039.912.947"
"2.390.902.817",27-07-2026,"1039.913.541"
"2.390.927.660",27-07-2026,"1039.336.291"
"2.391.009.022",27-07-2026,"0402.725.291"
"2.391.032.182",27-07-2026,"1040.026.872"
"2.391.060.985",27-07-2026,"0752.823.829"
"2.391.179.167",27-07-2026,"0717.611.245"
"2.391.180.850",27-07-2026,"1040.148.618"
"2.391.213.019",27-07-2026,"1040.184.250"
"2.391.314.175",27-07-2026,"1039.558.106"
"2.391.324.964",27-07-2026,"1040.233.839"
"2.391.354.955",27-07-2026,"1039.505.943"
"2.391.451.262",27-07-2026,"1040.387.752"
"2.391.465.615",27-07-2026,"1040.362.711"
"2.391.537.473",27-07-2026,"1040.491.482"
"2.391.541.730",27-07-2026,"1040.432.985"
"2.391.550.242",27-07-2026,"1040.504.449"
"2.391.558.853",27-07-2026,"1040.512.862"
"2.391.564.692",27-07-2026,"1040.489.801"
"2.391.587.458",27-07-2026,"1040.451.296"
"2.391.595.772",27-07-2026,"1040.477.230"
"2.391.598.445",27-07-2026,"1040.438.232"
"2.391.600.920",27-07-2026,"1040.477.626"
"2.391.622.496",27-07-2026,"0792.251.458"
"2.391.638.433",27-07-2026,"0784.566.880"
"2.391.641.896",27-07-2026,"1040.565.619"
"2.391.662.583",27-07-2026,"1040.592.937"
"2.391.676.738",27-07-2026,"0873.674.743"
"2.391.678.223",27-07-2026,"1040.606.694"
"2.391.688.715",27-07-2026,"1040.499.402"
"2.391.697.524",27-07-2026,"1040.468.520"
"2.391.698.811",27-07-2026,"1040.624.710"
"2.391.698.910",27-07-2026,"1040.624.809"
"2.391.713.360",27-07-2026,"1040.635.103"
"2.391.715.934",02-01-2017,"0827.334.972"
