"EntityNumber","ActivityGroup","NaceVersion","NaceCode","Classification"
"0211.264.614","006","2025","94910","MAIN"
"0405.404.273","006","2025","49320","MAIN"
"0405.404.273","006","2003","60230","MAIN"
"0405.404.273","001","2003","60230","MAIN"
"0405.404.273","001","2025","49320","MAIN"
"0405.404.273","001","2025","49330","SECO"
"0405.404.273","006","2008","49390","MAIN"
"0405.404.273","001","2008","49390","MAIN"
"0405.404.273","001","2008","49320","SECO"
"0413.970.660","001","2025","71111","SECO"
"0413.970.660","001","2025","68203","SECO"
"0413.970.660","001","2025","68201","MAIN"
"0413.970.660","001","2025","68110","SECO"
"0413.970.660","001","2003","70201","MAIN"
"0413.970.660","001","2008","68100","SECO"
"0413.970.660","001","2008","68203","SECO"
"0413.970.660","001","2008","71111","SECO"
"0413.970.660","001","2008","68201","MAIN"
"0417.398.324","006","2025","93191","MAIN"
"0417.398.324","006","2003","92621","MAIN"
"0417.398.324","001","2025","85510","SECO"
"0417.398.324","001","2025","93191","MAIN"
"0417.398.324","006","2008","93191","MAIN"
"0425.146.644","006","2025","47120","MAIN"
"0425.146.644","006","2003","52122","MAIN"
"0425.146.644","001","2025","47521","MAIN"
"0425.146.644","001","2025","47120","SECO"
"0425.146.644","001","2025","47527","SECO"
"0425.146.644","001","2025","47783","SECO"
"0425.146.644","001","2025","47525","SECO"
"0425.146.644","001","2025","47551","SECO"
"0425.146.644","001","2025","47526","SECO"
"0425.146.644","001","2003","52461","MAIN"
"0425.146.644","006","2008","47191","MAIN"
"0425.146.644","001","2008","47521","MAIN"
"0425.279.177","006","2025","52250","MAIN"
"0425.279.177","001","2025","70200","SECO"
"0425.279.177","001","2025","78200","SECO"
"0425.279.177","001","2025","63920","MAIN"
"0425.279.177","001","2008","70220","SECO"
"0425.279.177","001","2008","78300","SECO"
"0425.279.177","001","2008","63990","MAIN"
"0430.505.794","006","2025","46460","MAIN"
"0430.505.794","006","2003","51460","MAIN"
"0430.505.794","001","2003","85141","SECO"
"0430.505.794","001","2003","51550","MAIN"
"0430.505.794","001","2025","86910","SECO"
"0430.505.794","001","2025","46851","MAIN"
"0430.505.794","006","2008","46460","MAIN"
"0430.505.794","001","2008","86901","SECO"
"0430.505.794","001","2008","46751","MAIN"
"0434.779.338","006","2025","33110","MAIN"
"0434.779.338","006","2003","34201","MAIN"
"0434.779.338","001","2025","95314","MAIN"
"0434.779.338","001","2025","29320","SECO"
"0434.779.338","001","2025","95311","SECO"
"0434.779.338","001","2025","29201","SECO"
"0434.779.338","001","2025","95319","SECO"
"0434.779.338","001","2025","47811","SECO"
"0434.779.338","001","2025","95313","SECO"
"0434.779.338","006","2008","33110","MAIN"
"0434.779.338","001","2008","29201","SECO"
"0434.779.338","001","2008","45201","SECO"
"0434.779.338","001","2008","45209","SECO"
"0434.779.338","001","2008","45113","SECO"
"0434.779.338","001","2008","45204","MAIN"
"0439.722.873","001","2025","47552","SECO"
"0439.722.873","001","2025","46431","MAIN"
"0439.722.873","001","2025","47540","SECO"
"0439.722.873","001","2025","47770","SECO"
