"EnterpriseNumber","Status","JuridicalSituation","TypeOfEnterprise","JuridicalForm","JuridicalFormCAC","StartDate"
"0405.404.273","AC","091","2","610",,01-01-1968
"0428.198.481","AC","000","2","610",,02-12-1985
"0435.569.788","AC","000","2","610",,24-10-1988
"0448.948.662","AC","000","2","610",,26-11-1992
"0449.341.117","AC","000","2","011",,01-02-1993
"0533.899.579","AC","000","2","610",,06-05-2013
"0537.548.660","AC","000","1",,,20-07-2026
"0563.735.096","AC","000","1",,,02-07-2026
"0589.622.814","AC","000","1",,,01-07-2026
"0589.994.481","AC","091","1",,,19-01-2015
"0631.689.140","AC","000","1",,,18-05-2015
"0631.949.951","AC","000","2","610",,11-06-2015
"0635.718.006","AC","012","2","011",,24-08-2015
"0642.807.617","AC","012","2","017",,10-11-2015
"0651.735.080","AC","000","1",,,27-07-2026
"0656.661.393","AC","000","1",,,07-07-2026
"0659.820.229","AC","000","2","610",,20-07-2016
"0666.482.149","AC","000","2","610",,18-11-2016
"0672.935.124","AC","000","2","610",,23-03-2017
"0678.395.234","AC","000","1",,,06-07-2026
"0678.577.059","AC","000","1",,,13-07-2026
"0685.381.313","AC","000","1",,,22-07-2026
"0698.798.589","AC","000","2","012","612",26-06-2018
"0729.733.275","AC","000","1",,,02-07-2026
"0739.386.260","AC","000","1",,,18-07-2026
"0742.517.380","AC","000","1",,,27-07-2026
"0747.408.358","AC","000","1",,,05-07-2026
"0748.987.280","AC","000","1",,,01-07-2026
"0750.489.394","AC","000","1",,,15-06-2026
"0755.188.253","AC","000","1",,,15-07-2026
"0757.901.580","AC","000","1",,,15-04-2026
"0763.713.167","AC","000","1",,,01-07-2026
"0763.873.218","AC","000","2","610",,22-02-2021
"0766.533.590","AC","000","1",,,01-07-2026
"0773.770.384","AC","000","1",,,01-07-2026
"0781.034.694","AC","052","1",,,14-03-2006
"0788.462.718","AC","012","2","017",,11-07-2022
"0788.915.252","AC","000","1",,,01-07-2026
"0790.841.196","AC","000","2","610",,15-09-2022
"0804.207.402","AC","050","1",,,24-07-2023
"0804.815.631","AC","000","1",,,23-07-2026
"0811.757.267","AC","012","2","065",,15-05-2009
"0817.990.310","AC","000","2","610",,17-08-2009
"0819.858.648","AC","000","1",,,01-07-2026
"0832.197.246","AC","000","1",,,19-07-2026
"0843.511.010","AC","000","1",,,22-07-2026
"0844.912.362","AC","010","2","612",,02-04-2012
"0872.940.117","AC","012","2","014",,04-04-2005
"0874.744.119","AC","000","1",,,01-07-2026
"0880.608.065","AC","000","1",,,22-07-2026
"0888.412.904","AC","000","1",,,01-07-2026
"0889.887.502","AC","000","2","610",,06-06-2007
"0891.270.939","AC","000","1",,,20-07-2026
"0892.964.380","AC","000","2","610",,22-10-2007
"1001.631.304","AC","050","2","610",,25-10-2023
"1008.146.932","AC","000","1",,,26-07-2026
"1010.473.150","AC","000","1",,,23-07-2026
"1012.919.431","AC","000","1",,,27-07-2026
"1013.123.527","AC","000","1",,,24-07-2026
"1015.405.007","AC","000","1",,,13-07-2026
"1020.216.306","AC","000","1",,,28-07-2026
"1035.391.460","AC","000","1",,,22-07-2026
"1035.921.792","AC","000","1",,,01-04-2026
"1036.811.917","AC","000","1",,,01-01-2025
"1037.402.231","AC","000","1",,,27-07-2026
"1038.069.848","AC","000","2","030",,03-05-2026
"1038.395.292","AC","000","1",,,28-05-2026
"1038.565.637","AC","000","1",,,03-06-2026
"1038.646.801","AC","000","1",,,15-06-2026
"1038.652.640","AC","000","1",,,01-07-2026
"1038.850.105","AC","000","1",,,01-07-2026
"1038.881.183","AC","000","1",,,10-06-2026
"1038.986.103","AC","000","1",,,01-07-2026
"1039.040.838","AC","000","1",,,01-07-2026
"1039.179.707","AC","000","1",,,01-07-2026
"1039.289.276","AC","000","1",,,01-07-2026
"1039.321.643","AC","000","1",,,01-07-2026
"1039.457.641","AC","000","1",,,05-07-2026
"1039.539.201","AC","000","1",,,02-07-2026
"1039.594.431","AC","000","1",,,06-07-2026
"1039.623.927","AC","000","1",,,01-07-2026
"1039.744.879","AC","000","1",,,02-07-2026
"1039.751.215","AC","000","1",,,02-07-2026
"1039.760.024","AC","000","1",,,01-07-2026
"1039.820.501","AC","000","1",,,03-07-2026
"1039.851.579","AC","000","1",,,13-07-2026
"1039.884.936","AC","000","1",,,06-07-2026
"1039.928.288","AC","000","1",,,06-07-2026
"1039.932.248","AC","000","1",,,14-07-2026
"1039.958.378","AC","000","1",,,03-07-2026
"1039.968.177","AC","000","1",,,16-07-2026
"1039.969.761","AC","000","1",,,03-07-2026
"1039.972.038","AC","000","1",,,01-07-2026
"1040.029.743","AC","000","1",,,08-07-2026
