
"Reference number","2023-00491345"
"Entity number","0400228334"
"Accounting period start date","2021-12-01"
"Accounting period end date","2022-12-31"
"Model code","m81-f"
"Deposit type","Initial"
"Language","nl"
"Currency","EUR"
"Entity name","ONDERNEMINGEN LIEVENS"
"Entity address street","Neerrechemstraat"
"Entity address number","1"
"Entity postal code","9770"
"Entity city","Kruisem"
"Entity country","België"
"General assembly date","2023-09-29"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Besloten vennootschap"
"40/41","3691031.19"
"492/3","53.05"
"58033","5751.67"
"1341","2"
"454/9","154572.5"
"58031","20545.53"
"110","225038.73"
"635/8","300000"
"1213","1.4"
"1212","2"
"164/5","300000"
"13","420149.98"
"14","647998.16"
"16","309554.54"
"17","300562.35"
"3","1160453.78"
"1103","31.2"
"1102","3"
"1343","3.4"
"1101","29"
"1342","2"
"22","6533.43"
"23","437777.66"
"24","78929.5"
"12011","25"
"28","185374"
"75/76B","32558.34"
"9087","32.4"
"132","211803.88"
"133","208346.1"
"12013","25.8"
"12012","1"
"37","1092503.78"
"1011","43591"
"694/7","400000"
"1003","32.4"
"1002","2.3"
"1001","30.8"
"40","3069626.24"
"41","621404.95"
"42","167534.63"
"43","400000"
"44","3015495.51"
"45","282728.2"
"1022","120483"
"1021","1884078.3"
"14P","340360.22"
"1013","46714"
"1012","3123"
"12112","1"
"8329","4934535.82"
"12113","0.8"
"22/27","523240.59"
"168","9554.54"
"1023","2004561.3"
"12123","0.6"
"12122","1"
"12001","4"
"12003","4"
"8199P","4930334.06"
"62","2004561.3"
"10/49","6169709.45"
"65","26178.92"
"21/28","708614.59"
"20/58","6169709.45"
"10/11","225038.73"
"10/15","1293186.87"
"75","32558.34"
"170/4","300562.35"
"1003P","30.2"
"1053","31.2"
"1052","3"
"1051","29"
"8395P","185374"
"8912","300562.35"
"450/3","128155.7"
"54/58","498624.88"
"630","108567.42"
"65/66B","26178.92"
"160/5","300000"
"8329P","4825968.4"
"1013P","40286"
"9903","896757.85"
"9900","3325446.08"
"9901","890378.43"
"9906","1047998.16"
"9904","692418.52"
"9905","707637.94"
"42/48","4266352.64"
"8279","108567.42"
"2053","3"
"2051","3"
"8395","185374"
"440/4","3015495.51"
"8169","527442.35"
"47/48","400594.3"
"780","5073.14"
"789","15219.42"
"1023P","1640683.61"
"172/3","300562.35"
"640/8","21938.93"
"490/1","110985.01"
"3053","2"
"3051","2"
"30/36","67950"
"29/58","5461094.86"
"17/49","4566968.04"
"8199","5457776.41"
"430/8","400000"
"694","400000"
"1203","29.8"
"1323","27.8"
"1202","1"
"1322","1"
"1201","29"
"1321","27"
"5801","20"
"67/77","209412.47"
"5802","404"
"5803","14793.86"
