
"Reference number","2025-00252785"
"Entity number","0201400209"
"Accounting period start date","2024-01-01"
"Accounting period end date","2024-12-31"
"Model code","m82-f"
"Deposit type","Initial"
"Language","fr"
"Currency","EUR"
"Entity name","Société Intercommunale BEP ENVIRONNEMENT"
"Entity address street","Avenue Sergent Vrithoff"
"Entity address number","2"
"Entity postal code","5000"
"Entity city","Namur"
"Entity country","Belgique"
"General assembly date","2025-06-17"
"Liquidation flag","FALSE"
"Correction flag","FALSE"
"Legal form","Société coopérative"
"1213","3.9"
"1212","1"
"1211","3"
"10032P","3.8"
"3403","4.4"
"3","901061.71"
"3402","3"
"3401","2"
"6921","2375288.2"
"3431","18"
"1011","371553"
"8052P","322257.41"
"3423","1.8"
"1003","326.6"
"3422","1"
"1002","47.1"
"3421","1"
"1001","290.3"
"10031P","315.5"
"10231P","17027962.29"
"2111","35"
"1022","1887295.97"
"1021","16374044.37"
"2103","2"
"3433","18"
"1013","414379"
"2101","2"
"1012","42826"
"10232P","199063.23"
"1033","462660"
"2113","35"
"1023","18261340.34"
"609","-110619.97"
"8902","186.25"
"617","3009388.95"
"170/4","22112480.57"
"1053","334.9"
"1052","45"
"1051","300"
"620","12224625.26"
"621","3407205.1"
"623","2629509.98"
"8912","15361101.53"
"8913","6751565.29"
"630","5730360.74"
"65/66B","625730.43"
"10011","287.3"
"8921","10924686.08"
"10012","3"
"640","128444.07"
"10022","1"
"10021","46.1"
"664/7","28603.44"
"650","624500.65"
"10231","18009533.12"
"10232","251807.22"
"440/4","7390501.71"
"7630","198562"
"8961","10924686.08"
"1023P","17227025.52"
"66A","28603.44"
"640/8","241123.35"
"10211","16186305.01"
"10212","187739.36"
"3053","24.2"
"3052","4"
"3051","21"
"10222","64067.86"
"10221","1823228.11"
"200/2","0"
"450","34119.53"
"211","65849.98"
"20P","0"
"51/53","15416032.63"
"285/8","3505"
"492/3","318775.71"
"600/8","4435287.68"
"635/8","-178808.43"
"8303","877286.6"
"8302","628111"
"75/76B","556705.37"
"251","0"
"8321","34440688.28"
"8322","19028551.48"
"8325","5733624.95"
"8323","16343975.62"
"8324","26732.75"
"130/1","17322.5"
"12112","1"
"12111","2"
"12113","2.9"
"282","20400"
"22/27","42069137.92"
"10/49","77189515.91"
"20/58","77189515.91"
"291","5295789.34"
"8593","198.32"
"10/11","173225"
"10/15","36182400.7"
"8122","256407.43"
"631/4","8553106.2"
"178/9","186.25"
"12101","1"
"285/8P","3703.32"
"12103","1"
"764/8","10852.82"
"54/58","598497.66"
"1501","46.1"
"8392","20400"
"1511","91132"
"8166","1267954.48"
"9252","20400"
"8163","2579110.8"
"8161","1909782.75"
"8162","2526187.1"
"1521","3009389"
"8172","628111"
"9262","20400"
"8173","877286.6"
"490/1","518662.01"
"8181","444168.74"
"8186","-953473.88"
"8183","509305.14"
"8192","25100315.86"
"8193","26953520.81"
"8191","58360764.31"
"8196","1467752.32"
"8194","26732.75"
"8195","5733624.95"
"1311","17322.5"
"9292","481836.9"
"1323","330.1"
"1322","44"
"1321","296"
"40/41","12300579.66"
"1341","4"
"9061","10924686.08"
"454/9","2799906.98"
"8196P","1153271.72"
"9073","147274.04"
"9076","0"
"9077","2799906.98"
"1103","298.9"
"1102","45"
"1343","4.8"
"1101","264"
"1342","1"
"8195P","5733624.95"
"111P","173225"
"9087","326.6"
"9088","414378"
"9086","345"
"8392P","20400"
"1113","36"
"1111","36"
"9098","91132"
"9097","46.1"
"670/3","162671.47"
"10132P","4732"
"3101","8"
"10131P","404760"
"3111","13"
"740","5165932.05"
"3103","11.2"
"3102","4"
"10332P","5339"
"6630","0"
"450/3","181393.57"
"751","544263.26"
"3113","13"
"10132","5714"
"8802","15360915.28"
"10131","408664"
"8803","6751565.29"
"8801","4080406.8"
"1013P","409492"
"9903","2537959.67"
"9901","2606984.73"
"9906","2375288.2"
"9904","2375288.2"
"9905","2375288.2"
"42/48","14541724.54"
"76A","209414.82"
"2053","37"
"2051","37"
"641/8","112679.28"
"8842","15360915.28"
"8843","6751565.29"
"10331P","453504"
"8841","4080406.8"
"652/9","1229.78"
"8192P","23202239.76"
"50/53","15416032.63"
"70/76A","69409212.97"
"10332","6252"
"10331","456408"
"30/36","901061.71"
"29/58","35030623.01"
"8191P","56006812.82"
"30/31","774818.4"
"1033P","458843"
"17/49","36973167.07"
"8194P","26732.75"
"8193P","24742391.47"
"9503","81353.69"
"58031","63887.54"
"111","173225"
"8322P","18265460.29"
"13","27822846.65"
"15","8186329.05"
"16","4033948.14"
"17","22112666.82"
"9505","11500"
"8321P","32265116.79"
"20","0"
